title,date,author,column,category,format,source_html,source_pdf
Introduction to Inevitability,2007-05-05,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Introduction to Inevitability.html,Introduction to Inevitability.pdf
Managing Mana Screw,2007-04-28,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Managing Mana Screw.html,Managing Mana Screw.pdf
Tactical Protocol: Introduction to Information & Resources,2007-04-21,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Tactical Protocol: Introduction to Information & Resources.html,Tactical Protocol: Introduction to Information & Resources.pdf
Tactical Protocol: Your Opponent's Turn,2007-04-14,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Tactical Protocol: Your Opponent's Turn.html,Tactical Protocol: Your Opponent's Turn.pdf
Tactical Protocol: Your Own Turn,2007-04-07,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Tactical Protocol: Your Own Turn.html,Tactical Protocol: Your Own Turn.pdf
Mana Base Walkthrough,2007-03-10,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Mana Base Walkthrough.html,Mana Base Walkthrough.pdf
Seven Steps to a Better Mana Base,2007-03-03,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Seven Steps to a Better Mana Base.html,Seven Steps to a Better Mana Base.pdf
"Introduction to Mana Base, Part 2",2007-02-24,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']","Introduction to Mana Base, Part 2.html","Introduction to Mana Base, Part 2.pdf"
Introduction to Mana base,2007-02-17,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Introduction to Mana base.html,Introduction to Mana base.pdf
In-Game Protocol,2007-02-10,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",In-Game Protocol.html,In-Game Protocol.pdf
Your First Tournament,2007-02-03,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Your First Tournament.html,Your First Tournament.pdf
"Agresivo, Combo y Control",2007-01-27,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']","Agresivo, Combo y Control.html","Agresivo, Combo y Control.pdf"
What Are The Formats?,2007-01-20,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",What Are The Formats?.html,What Are The Formats?.pdf
Introducing Sideboards,2007-01-13,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Introducing Sideboards.html,Introducing Sideboards.pdf
What is the Metagame?,2007-01-06,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",What is the Metagame?.html,What is the Metagame?.pdf
Sealed Deck Walkthrough,2006-12-16,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Sealed Deck Walkthrough.html,Sealed Deck Walkthrough.pdf
Getting Better at Sealed,2006-12-09,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Getting Better at Sealed.html,Getting Better at Sealed.pdf
Your First Sealed Deck,2006-12-02,Jeff Cunningham,Magic Academy,"['mtg', 'article']","['html', 'pdf']",Your First Sealed Deck.html,Your First Sealed Deck.pdf
