num,title,file,abs
"2","Introduction to Mana Base Part 2","Introduction to Mana Base, Part 2.pdf","MAfiles/Introduction to Mana Base, Part 2.pdf"
"","Agresivo Combo y Control","Agresivo, Combo y Control.pdf","MAfiles/Agresivo, Combo y Control.pdf"
"","Card Evaluation","Card Evaluation.pdf","MAfiles/Card Evaluation.pdf"
"","Getting Better at Sealed","Getting Better at Sealed.pdf","MAfiles/Getting Better at Sealed.pdf"
"","Introducing Sideboards","Introducing Sideboards.pdf","MAfiles/Introducing Sideboards.pdf"
"","Introduction to Bluffing","Introduction to Bluffing.pdf","MAfiles/Introduction to Bluffing.pdf"
"","Introduction to Inevitability","Introduction to Inevitability.pdf","MAfiles/Introduction to Inevitability.pdf"
"","Introduction to Innovation","Introduction to Innovation.pdf","MAfiles/Introduction to Innovation.pdf"
"","Introduction to Mana base","Introduction to Mana base.pdf","MAfiles/Introduction to Mana base.pdf"
"","Lessons Learned","Lessons Learned.pdf","MAfiles/Lessons Learned.pdf"
"","Mana Base Walkthrough","Mana Base Walkthrough.pdf","MAfiles/Mana Base Walkthrough.pdf"
"","Managing Mana Screw","Managing Mana Screw.pdf","MAfiles/Managing Mana Screw.pdf"
"","Playing Against Control","Playing Against Control.pdf","MAfiles/Playing Against Control.pdf"
"","Sealed Deck Walkthrough","Sealed Deck Walkthrough.pdf","MAfiles/Sealed Deck Walkthrough.pdf"
"","Seven Steps to a Better Mana Base","Seven Steps to a Better Mana Base.pdf","MAfiles/Seven Steps to a Better Mana Base.pdf"
"","Strategies and Techniques for Booster Draft","Strategies and Techniques for Booster Draft.pdf","MAfiles/Strategies and Techniques for Booster Draft.pdf"
"","Tactical Protocol Introduction to Information Resources","Tactical Protocol_ Introduction to Information & Resources.pdf","MAfiles/Tactical Protocol_ Introduction to Information & Resources.pdf"
"","Tactical Protocol Your Opponents Turn","Tactical Protocol_ Your Opponent's Turn.pdf","MAfiles/Tactical Protocol_ Your Opponent's Turn.pdf"
"","Tactical Protocol Your Own Turn","Tactical Protocol_ Your Own Turn.pdf","MAfiles/Tactical Protocol_ Your Own Turn.pdf"
"","Ten Beginner Mistakes","Ten Beginner Mistakes.pdf","MAfiles/Ten Beginner Mistakes.pdf"
"","What Are The Formats","What Are The Formats_.pdf","MAfiles/What Are The Formats_.pdf"
"","What is the Metagame","What is the Metagame_.pdf","MAfiles/What is the Metagame_.pdf"
"","Your First Sealed Deck","Your First Sealed Deck.pdf","MAfiles/Your First Sealed Deck.pdf"
"","Your First Tournament","Your First Tournament.pdf","MAfiles/Your First Tournament.pdf"
